sponsor,author,name,description
LLVM Compiler Infrastructure,Paul Semel,Command line replacements for GNU Binutils,"A lot of GNU binutils have their equivalent in the LLVM project. As the majority of people are already accustomed to the GNU ones, it would be great to make the LLVM binutils command lines compliant. The goal of this project is that people would be able to integrate LLVM tools in their existing toolchains without any efforts, and thus increase the number of projects using LLVM binutils."
LLVM Compiler Infrastructure,Piotr Padlewski,Devirtualization v2,"In this project I would like to implement proposal “RFC: C++ Devirtualization v2” that I was working on for a quite some time with help from other people. The proposal can be seen
here: https://docs.google.com/document/d/16GVtCpzK8sIHNc2qZz6RN8amICNBtvjWUod2SujZVEo/edit?usp=sharing"
LLVM Compiler Infrastructure,Reshabh Sharma,Move the apt.llvm.org CI to OBS,"LLVM uses a Jenkins instance and Jenkins-Debian-Glue to build LLVM, Clang, clang extra tools, compiler-rt, polly, LLDB and LLD packages for the stable, stabilization and development branches. These Debian and Ubuntu repositories are hosted on apt[dot]llvm[dot]org. This GSoC I plan to deploy an instance of Open Build Service (OBS) and port the various scripts and packages to this platform such that it don't change the present user interaction."
LLVM Compiler Infrastructure,Réka Nikolett Kovács,A checker for dangling string pointers in C++,"The C++ std::string class provides a c_str() method that returns a raw pointer to a string's inner character buffer. When a std::string is destroyed, the character buffer is deallocated. A common bug is to access a dangling raw pointer to the buffer after string deallocation. These ""use after free"" bugs can cause crashes or other unexpected behavior.
This project will add a new checker to the static analyzer to find when a dangling inner string pointer is used. This will help find bugs not only with std::string and c_str() but also with LLVM's StringRef class and the new C++17 std::string_view."
LLVM Compiler Infrastructure,gramanas,Improve Debugging of Optimized Code,"- Measure DebugInfo loss statistics.
- Find the cause.
- Fix the culprit transformations starting from the most used areas of the compiler."
LLVM Compiler Infrastructure,lorenzo chelini,Estimating schedule for performance difference,"The polyhedral framework has been proven to be a powerful tool for automatic optimization and parallelization. It is based on an abstract mathematical representation that allows to precisely reason on complex code-scheduling transformations. However, we believe that right now not all the scheduling optimization opportunities are explored due to naive equivalence and profitability check between the original schedule and the transformed one. We will address this issue in Polly unlocking the opportunity for more code optimizations to be explored."
LabLua,Anny,"Céu-Maker: easy-to-install, up-to-date integrated environment for Céu-Arduino and pico-Céu development","The objective of my proposal is to provide an easy-to-install, up-to-date integrated environment for Céu-Arduino and pico-Céu development. Céu is a synchronous reactive language, with supports concurrent lines of execution and broadcast communication through events. The environment issues events to the applications, with responds immediately. It’s recommended to interactive apps such as games, and targets from desktops to embedded systems. Exploring this last flexibility, the language has some variations, such as Céu-Arduino and pico-Céu, a version o Céu meanted to visual and interactive applications.

In the proposed approach, a developer can use the same source code to implement an application that runs on an Arduino (using Céu-Arduino) and on a computer (using pico-Céu), also supporting communicating between the two sides"
LabLua,Caio Messias,Development of a RCU Binding for Lua tables,"Lunatik is a programming environment based on the Lua language for kernel scripting. By allowing kernel scripting, a user may create scripts in Lua to customize their kernel to suit their needs. Modern day kernels, such as Linux, work on a highly concurrent environment, and therefore must use robust synchronization APIs to ensure data consistency, with each API having their own use cases. 

The Read-copy-update (RCU) is one of those APIs, made specifically for scenarios where data reading is much more common than writing. RCU allows concurrent readers to access protected data in a non-blocking way even during updates or removals. RCU, as with the rest of the Linux Kernel, is written in C.

The project idea is a binding of RCU for use in Lunatik, thus allowing synchronization of Lua data via RCU."
LabLua,Chengzhi Tan,Develop Socket API for Lunatik,"Lunatik is a kernel-level Lua interpreter version for scripting the Linux kernel. For example, it allows users to filter packets using Lua scripts.

I chose this project, Develop Socket API for Lunatik because I hope I can implement a way to reduce the barrier to kernel development. I have some Linux kernel and operating system learning experience and I found that without the necessary knowledge detail of kernel mechanism, it is hard to modify the behavior of an operating system.

To implement a library containing most socket APIs in Posix.1g for Lunatik. The final library should be available for IPv4, IPv6, TCP, UDP, RAW and Unix/AF_LOCAL. Three kinds of synchronous I/O, Blocking, Non-blocking and I/O Multiplex should be tested with full unit tests."
LabLua,M Naveen Kumar,Interrupt-based drivers in Céu-Arduino for Cortex-M0 microcontrollers,"The project consists of developing new interrupt-based drivers for Cortex-M0 microcontrollers, e.g.:
ADC
SPI and I2C buses
EEPROM
Real-time clock
Some libraries built on top of these drivers (e.g., RF transceiver, ultrasonic sensor, accelerometer)."
LabLua,Satyendra  Kumar Banjare,Update Lua Bindings to LibGit2,The Project aims at updating lua bindings to libgit2 for the lua users to use libgit2 ( pure C implementation of the Git core methods ) API from lua. I have developed a small working prototype with small number of functions available at https://github.com/SatyendraBanjare/luagit2 . I have implemented the idea using lua-C api (https://www.lua.org/pil/24.html) and I wish to use this method only for the final Implementation too. I plan to write tests for  binded functions using lunit. ( the tests will be more like a lua module calling all those functions and we'll then check the output ) .
LibreHealth,2208Abhinav,Remove and replace the old PDF generation code with a custom library dependent on a single external PHP library,"Currently the software uses a lot of exteranal libraries like HTML2PDF, MPDF, FPDF and TCPDF. My aim for the project is to make a custom PHP library based on TCPDF as backbone to create PDFs."
LibreHealth,Anirudh Singh,Integrate an open source Laboratory Information Management System,"The integration of a LIMS has quite a number of weighted benefits for the community that is making use of the EHR. The management of laboratory functionalities becomes an easy task. Administrators will have the process of linking a patient and their related lab reports and processes laid out for them in a very user-friendly manner. Due to the high number of paid LIMS applications available, having a free, open source solution integrated into a full fledged EHR system would be highly appealing for a large number of medical administrators.
This project is a means to integrate a fully functional and well documented LIMS into LibreEHR."
LibreHealth,Apoorv Choubey,Improving the Calendar system in LibreHealth EHR,"During the previous Google Summer of Code, a successor to PostNuke Calendar, which was the earlier basis for EHR’s Calendar system, was deployed. The goals of the migration were to solve issues with using PostNuke Calendar and to improve the user interface of Calendar system to make it more intuitive and accessible to the users.

My project aims to further improve the current Calendar system. This involves adding an audit feature for appointments which would allow users to see who rescheduled an appointment and when it was rescheduled. This project also involves adding several enhancements that would improve user experience, user interface of the Calendar system and the scope of testing Calendar system for debugging purposes."
LibreHealth,Mua Ndzo Laurent,Setup Improvement for LibreHealth EHR,"This proposal is creating a dynamic friendly user interface that will install the Librehealth in any environment of your choice. This is greatly going to help users such that they can upgrade thier system to meet up with the optimal coditions for running Librehealth EHR.Also this project aims at producing a multi-step (to and fro) manner of installing the software.Users will be able to install the setup in a systematic manner and cancel at any stage if the wish.
Couples to that effect this project aims at installing necessary dependencies the system requires in order for a healthy running Librehealth EHR to run smoothly."
LibreHealth,NAVEEN K M,Updater for LibreHealth EHR,"The project focus to develop a updater module for Libre Health EHR by using gitlab API.It uses gitlab API to retrieve changed files,download those files and replace them in application."
LibreHealth,Parvati,Web Components using FHIR Resources,"LibreHealth EHR is an open source, clinically focused EHR which was designed for easy use and customizable for variety of settings. LibreHealth is a community that works to develop and implement Health Information Technology application to deliver better health outcomes using these technology platforms one among them being the LibreHealth HER. This is an open source, clinically focused EHR which was designed for easy use and customizable for variety of settings. The back end of this EHR is forked from OpenEMR data model.
To move away from OpenEMR data storage, efficient reading and writing clinical data and improving interoperability, we need to move to the standard of FHIR (Fast Healthcare Interoperability Resources) Specification. This project aims to build components for LibreHealth EHR based on FHIR with Polymer components. This will enable the EHR developers to upgrade to a standard data model. The resources from modules in level3 and level4 of FHIR with maturity level above 3 will be developed using Polymer components. These resources were specifically selected as they contribute to the patient centric feature of the EHR."
LibreHealth,Prashadi Bandara,Implement Spring Data to the LibreHealth Toolkit,"The Librehealth toolkit is dependent on Hibernate for database mapping to MYSQL. To scale various uses for the toolkit, there is a critical need to integrate a standard database management framework. This project aims to implement Spring Data into LibreHealth toolkit"
LibreHealth,Subhashinie Koshalya,Proposal for the Project: Create web components for FHIR Resources,"The intention of the project is to develop Web Components that provide access and functionality to FHIR resources and can be used on all three projects of LibreHealth (LibreHealth Toolkit, LibreHealth Radiology and LibreHealth EHR)
Using Polymer 2.0."
LibreHealth,Tenas,Implementing Reporting Workflow for Radiology as an Open Web App and Integrating Voice Dictation for Radiology.,"Implementing Radiology Workflow for LibreHealth radiology, integrating voice dictation into the same module"
LibreHealth,Trodrige,Building a Report Generator for LibreHealth's EHR system,"LibreEHR system currently has standard reports for various system features (Clients, Financial, Visits, Inventory, Services, Insurance, Procedures). These reports display standard output every time even if some of the fields are not required by the end user. Currently, only reports written by a developer can be added to the system.
The aim of this project is building a drag and drop report generator for users. This tool will enable users to generate reports of any kind. The equally enables the user to select the output type of the report, save the format of the report for future use."
LibreHealth,Yash D. Saraf,Implement Spring Data to LH Toolkit,"This project’s purpose is to replace or rather migrate the existing persistence schema of LibreHealth toolkit which uses hibernate mappings to a more modular spring data persistence mechanism.  
LibreHealth toolkit currently uses xml style mapping provided by hibernate which is harder to maintain and provides very little modularity in terms of switching to a different data source.  
Using spring data instead will make the system easier to maintain i.e lesser components to change in case a single entity needs to be modified, whereas in the current scenario to modify a single entity we might need to change the model class, the mapping file, the dao, the service, etc.
This makes for a more resilient system."
LibreHealth,lehone,Integrating OHIF Viewer to new Radiology OWA,Building a new open web app in angular for LibreHealth Radiology module to work with the existing REST backend. Project also requires the implementation of additional REST endpoints as well as the integration of a DICOM image viewer(in this case OHIF Viewer).
LibreOffice,Daniel Silva,Revamp Print Dialog,"The idea is make Print Dialog clean, simple and straightforward for the user.

Print Dialog content will only feature essential printing options. All other options could be displayed on a new ""More Options"" Dialog. This proposal also intends to solve printing ambiguity between the Print Dialog and the Printer Properties Dialog."
LibreOffice,Ekansh Jha,SmartArt Editing in Impress,SmartArt is a nice feature that allows users to quickly add charts/diagrams to presentations. LibreOffice has a partial implementation as an experimental feature; I plan to add some of the features in SmartArt by the end of GSoC period.
LibreOffice,Hrishabh Rajput,Listbox separate read values from input values,"Listboxes are a very useful component when entering data on forms in databases. The proposal primarily concerns providing the user the ability to choose the list items of the listbox based on the values entered in the other fields and hide the deprecated values of the database list. Listbox provides the user the facility to choose from a list of choices, and on the other hand, ensures that the values entered in the field are appropriate. Hence, Listbox can be a quicker way to select a value from a list. Listboxes obtain the list items from the tables in the database, and sometimes it is not preferred to list all the items available."
LibreOffice,Kshitij Pathania,Improvements to Notebookbar,"The proposed work will focus on to improve the current implementation of notebookbars. The emphasis will be on making the notebookbars bugs free and solving the issues related to resizing, theming and other issues with widgets. Beyond that, the project intends to make customization possible for notebookbar."
LibreOffice,Manuj Vashist,Interface for External Data source import in Calc,Data is available in Different forms and visualizing that data or transforming it into something meaning full is a tedious task.Calc provides a functionality to visualize the data easily by importing it in Calc. This project will involve improving the UI of the Data provider dialog and extending the data providers and adding new transformations option to it.
LibreOffice,Muammer Mert Tümer,LibreOffice Android Viewer,"Currently, there are many features of the android viewer are either not implemented or not working properly. For instance theres no option for neither priting the documents  nor exporting to pdf. Also tile rendering is working extremely slow and sometimes it causes a crash especially on Calc documents. I have some ideas to this rendering problem such as using cache because i noticed the android viewer renders the same tiles over and over again even tho they are not changed while the zoom is the same. Maybe we dont need to use cache to fix this maybe some other mechanism can be implemented to prevent this from happening which is why I need a mentor :). There are a lot of work to do not just these two of them of course. I hope you guys accept my proposal so that we can start working on it."
LibreOffice,Nickson Thanda,100 paper cuts,This project will solve the most annoying bugs and implement requested enhancements related to UI/UX.
LibreOffice,RAGHAV LALVANI,LibreOffice - Gsoc 2018 Proposal (LibreOffice for Android.),"This project aims at improving the LibreOffice Android Client by fixing its most annoying bugs. Adding new features to document viewer and experimental editing part, Enhancing overall UI/UX, performance and Making it more developer friendly by improving documentation and inline commands."
LibreOffice,Saurav Chirania,Adding a DSL to the UI testing and improving the generated log file,"The UI testing is one of the newest additions to LibreOffice's testing frameworks. The code consists of wrapper classes written in C++ and tests written in Python.

Taking it forward, this proposal aims at improving the LibreOffice UI testing and bug reporting by defining a DSL (Domain Specific Language) for logging UI actions, generating a log file according to the DSL, and automating the replay of user actions by interpreting the generated log file."
LibreOffice,Shobhan Mandal,Add Support for Python in LOEclipse Plugin,"Existing LOEclipse plugin allows users to develop extensions for LibreOffice using Java. This project will allow us to extend this support to include Python. With the inclusion of Python developers will be able to develop extensions for LibreOffice using Python, thus enabling more number of extensions and giving the Developers more options to chose in terms of coding language."
LibreOffice,Vikas Mahato,Implement interface for external data source import into Calc,"The idea now is to take all the different ways that we have to import external data (CSV and HTML) and combine them in one common feature. To make working with the external data easier we also want to be able to apply simple transformations to the data before importing them (like deleting a column, applying a filter, sanitizing data, etc.)"
LuaRocks,George Roman,Unit Tests for LuaRocks,The goal of this project is to produce a unit test suite for LuaRocks in order to improve the code coverage and to increase the maintainability of the project.
LuaRocks,jiteshpabla,LuaRocks-GUI,"LuaRocks is a package manager for Lua. This project will provide a web based GUI front-end for LuaRocks that would allow users to search for rocks, list installed rocks, install and remove them, view rock details, etc., which would use an API for interfacing with the LuaRocks back-end."
MariaDB Foundation,Teodor Niculescu,Histograms with equal-width bins Project,This project implements a method of approximating histograms with equal-width bins. Such a feature is useful in cases when the tables have too many records and producing a full histogram would take too much time.
MariaDB Foundation,Zhang Shuai,Optimizer trace,"Ideally in SQL world one just needs to describe what she/he wants, then the DBMS figures out how to do it and gives the answer. However, DBMS is not always smart enough to do it quickly, so people have to ‘profile’ queries. 
All DBMS provide an ‘EXPLAIN’ functionality for profiling. It describes how one query is executed, and suggests why the optimizer possibly decides to do so and why it could possibly be fooled by providing inferred and empirical data statistics. But MySQL has a ‘Optimizer trace’ function, which records the decisions of the optimizer and why it made such decisions. So people can know directly what the optimizer thinks from the output of the trace function, and don’t need to guess from ‘EXPLAIN’. MariaDB needs such a feature too."
Matrix.org,APwhitehat,Dendrite: Achieve feature completion of Federation and Sync Server,"In this project I would like to focus on solving the following broad level problems:
 - Implement idempotency for all relevant APIs
 - Feature completion of the Federation API
 - Feature completion of the Sync API Server
 - Improving stability of the Federation API [Stretch Goal]"
Matrix.org,Badrul Chowdhury,Alternative Push Transport Notification,"This proposal seeks to develop an alternative to GCM/FCM on Android and APNS on iOS that provides the homeserver with facilities to push notifications
* reliably
* efficiently w.r.t. network, storage
* with speed

The proposal seeks to augment the push_gw in the existing architecture with an efficient transport layer. In effect, the proposed work will add MQTT messaging capabilities to matrix-org/sygnal in order to bypass the use of a push provider completely. The proposed architecture is called push_hub in the remainder of the proposal to differentiate it from push_gw. 

Push_hub will be written in Python. Some motivations for choosing Python include:
The reference push_gw matrix-org/sygnal uses Python
It is very easy to write a Python ctype wrapper for the MQTT broker Mosquitto, which is written in C"
Matrix.org,Zil0,Adding End-To-End Encryption to matrix-python-sdk,"# Goal

This project aims at fully implementing end-to-end encryption in matrix-python-sdk, following 
the official implementation guide and making use of the Python bindings already present in libolm.

## Rationale

Currently, even though end-to-end encryption has landed in Matrix for over a year, only the three SDK upon which is built Riot on different platforms (JS, Android and iOS) ship with encryption. On desktop, this situation prevents writing clients, bots and bridges that can interact with encrypted rooms in any other language than javascript. Tackling this issue would benefit the matrix ecosystem by seeing more featureful projects emerge in a variety of languages (Python in this case). It also supports the Matrix long-term goal of having E2E encryption turned on by default in private rooms."
MetaBrainz Foundation Inc.,Chhavi Shrivastava,React-based UI Component Library: A game-plan for user experience  design overhaul of MusicBrainz,"MusicBrainz is aiming for a user experience overhaul. To keep design and development in sync, by thousands of contributors over the years, we need a design system in place. The goal of this project is to build this design system which will include, apart from assets and MusicBrainz design principles, reusable independent UI components written in React.js. Further, I will use React Storybook to build a component library which will allow users to browse through components, visualise different states of each component, and interactively develop and test components."
MetaBrainz Foundation Inc.,Kartikeya Sharma,A way to associate listens with MBIDs,"Currently Listenbrainz uses MSIDs (Messybrainz-ID) for retrieving useful user stats (e.g. [user listens](https://beta.listenbrainz.org/user/iliekcomputers/artists)). Now ListenBrainz also plans to generate data which could be used by MusicBrainz to show useful information like artist popularity. MusicBrainz has MBIDs (MusicBrainz-ID) associated with each artist, recording, and release. In order to provide MusicBrainz with the ability to access information based on MBIDs, we have to associate recording_mbids, artist_mbids and release_mbids to the listens where we can. For most of the listens we don’t have artist_mbids and relesae_mbids associated with them. But have recording_mbids associated with them. So, now I plan to associate MBIDs to MSIDs."
MetaBrainz Foundation Inc.,Leo Verto,SpamBrainz - Fighting spam with machine learning,SpamBrainz is a project to combat automated spam in MusicBrainz.
MetaBrainz Foundation Inc.,Rashi Sah,More detailed integration of AcousticBrainz with MusicBrainz,"The AcousticBrainz project currently relies on using musicbrainzngs, which is a shallow python binding of the MusicBrainz Web Service to fetch the information of requested entities. python-musicbrainzngs then uses the XML Web Service (which is an interface to MusicBrainz database) which queries and serves the related results from **MusicBrainz** database. This is not very slow but there are a lot of requests per page on AcousticBrainz and with the XML web service it takes very long time to retrieve. 

Recordings in AcousticBrainz are stored based on their MBID from MusicBrainz. As accessing the MusicBrainz data in AcousticBrainz takes a long time to retrieve using present web API, we should be having a tighter integration with MusicBrainz data so that we can access the data in a faster and more efficient manner.

My proposal involves working on accessing MB database in AB irrespective of the present web service. 
With a direct access to MusicBrainz data, we can have a very tight integration with MusicBrainz database and can easily fetch MusicBrainz data and use it in many places in AcousticBrainz."
MetaBrainz Foundation Inc.,bukwurm,Importing data into BookBrainz,"This proposal is aimed at importing data into the BookBrainz database from third party sources, while at the same time ensuring that the quality of the data is maintained."
Metasploit,Albertor,Post-exploitation interface module to make it easy for  anyone anywhere,"In many cases once you have exploited a device you don’t know exactly what to do or how to go on. Maybe you have many payloads available and after trying all of them they don't work because of the architecture of the device. Even more in limited environments like embedded devices, for instance. The result is a waste of time and results.
Post-exploitation is a critical phase and that’s why I would like to create a generic interface to make it easy, automatic  and  direct  for  anyone  to  execute  postexploitation functions in whatever device they are trying to pentest. And it will not depend on the architecture of the device. 
At the same time I will try to make a project very scalable and modular to ease future improvements on it and avoid some of the current problems."
Metasploit,Eliott Teissonniere,Improving post exploitation features on POSIX systems,"As an IT student, I would like to take part in the GSOC 2018 by working on the **Metasploit Project**, the following proposal details the complete summer project I would like to work on during this upcoming summer.

This proposal targets the *“Improving the Post-exploit / Meterpreter functionality”* idea, more specifically the mettle payload targeting POSIX systems. My goals during the summer would be to improve the mettle implant by developing some post exploitation modules / extensions."
Metasploit,Rahul Dhawan,Improving the Post-exploit / Meterpreter functionality,"I want to contribute to the Metasploit Project by implementing one of the proposed ideas, namely “Improving the Post-exploit / Meterpreter functionality”. This implies enhancing the Meterpreter functionality by providing HTML based VNC style session control but accepting user input from the browser. Here is a catch, we can add all the Meterpreter functionality on HTML web page and simplify the session control interface for the users. As soon as user drops a Meterpreter shell, just by entering a single command, they will have an option to switch session control using Web interfaces or stay in command.
 
All the 64 functionalities will be displayed on the web interface. The user will select a particular command and implement the same within the web interface. This will also include streaming quality of audio as well as video and other fun behaviours."
Metasploit,Yihang Wang,Add meta-shell commands,Upgrade shell session to meterpreter shell and Make shell session more friendly to users
Metasploit,zed009,Integration plugin for 3rd party frameworks.,"This project tries to provide user the ability to use the functionalities, provided by third party external frameworks such as Pupy or PowerShell Empire, from within the Metasploit Framework, by creating a shim between the APIs and providing necessary modules, which uses the Extension Configuration Block instead of dropping binaries to disk."
Mixxx DJ Software,Kshitij Gupta,Mixxx Effects Proposal,Refactor Mixxx's Effects and implement import/export effect chain presets.
Mixxx DJ Software,davidhm,Live metadata output,In this project I will try to write a codebase to allow new scrobblers or listeners to be attached to Mixxx more easily. I will also write a proof of concept scrobbler writing the track currently playing to a nowPlaying.txt file. In the second part of the project I will attempt to use Last.fm's scrobbler HTTP API.
Mobile Robot Programming Toolkit (MRPT),Karnik Ram R.,GUI App for Automatic Extrinsic Calibration of Range and Visual Sensors,"Range and visual sensors are being increasingly used alongside one another in mobile robots. With their increasing use,
calibration techniques that can accurately estimate the 6-DoF transformation between them are becoming increasingly important. In this regard, an end-to-end application with an easy-to-use graphical user interface for the extrinsic calibration of different types of sensors is proposed. The app will be able to calibrate the extrinsics of 3D LiDARs, RGB-D cameras, RGB cameras, and any combination between them. Automatic and target-less calibration algorithms based on line matching, plane matching, and trajectory matching will be implemented and integrated into the app. The user will be able to directly visualize the calibration results inside the app and also compare different algorithms wherever possible, and significantly reduce calibration efforts."
Mobile Robot Programming Toolkit (MRPT),Rachit Tibrewal,Web Frameworks Library for MRPT,"Robots are slowly becoming a part of the internet of things, and easy control and universal access will be a step in future of robotics. MRPT’s Web Framework Library should address this problem.A lightweight publisher/subscriber mechanism needs to be created for MRPT. The C++ server library and the javascript library will then leverage this to  create further applications. There will be two libraries,  a C++ server library for RPC on the robot. Another will be a javascript library which provides modules for such procedure calls.This task involve serialization of existing mrpt objects for JSON transfer, RPC protocol, websocket setup, 3D rendering of objects in js, reusable js components for sending and receiving data from user created app where the user is largely benefitted from easy to use library methods and objects."
Mobile Robot Programming Toolkit (MRPT),Tushar Kusnur,Project #4 Proposal: Add GTSAM as an external dependency to MRPT,"The problem of Simultaneous Localization and Mapping (SLAM) has been around for many years and numerous front-end and back-end methods have been developed to solve it. SLAM is the computational problem of building a consistent map of an agent’s unknown environment while simultaneously keeping track of its location at all times within the environment. Currently, MRPT has only one available graph SLAM optimizer class, namely CLevMarqGSO, which uses the Levenberg-Marquardt algorithm to solve for the nonlinear graph SLAM optimization. We intend to support the usage of other optimization modules found in the GTSAM library (which primarily uses the iSAM2 algorithm) as an optional, external dependency in MRPT."
Mobile Robot Programming Toolkit (MRPT),shubham-kumar1410,Port Existing MRPT algorithms for V-REP simulator,V-REP provides a good platform for combining external libraries that are often used in robotic simulations. The aim of the project is to use this flexibility of the simulator and port existing MRPT algorithms for V-REP simulator so that they can be used in the V-REP simulator. The libraries will be extended to V-REP with the help of V-REP Remote Api which is part of the V-REP API framework
MovingBlocks,Adrian Siekierka,Developing an assortment of sandbox-friendly framework and content modules,"This proposal involves creating a “base game”, or gameplay template, usable by players and expansion mod developers alike. I have spent a long time implementing game design concepts for a more fleshed out sandbox experience, particularly in the areas of building infrastructure and automation (but not focusing strictly on it - this is better left to dedicated games like Factorio), but also the overall progression of gameplay."
MovingBlocks,Devi Acharya @dacharya64,Extending “Light and Shadow” Gameplay and Functionality,"My goal for Google Summer of Code is to work on improvements for the current Light and Shadow module. My hope for the end of the summer is to create a minimal viable product that implements unique assets, gameplay, level design, and mechanics, and can serve as a new mode of gameplay for Terasology."
MovingBlocks,Iaron da Costa Araújo,Event Recording Feature,"At present, Terasology has a very limited amount of types of automated
testing, which includes standard unit tests, environment-based tests and some minor
benchmarking. Recently a new module (ModuleTestingEnvironment) was created to
support integration tests, in which a JUnit tests are used to check more than one
game component together executing in a headless client. Since the creation of this
module was recent, not much was done using it yet. Besides this, another very
requested test feature is the ability to record and replay events of a game session.
With these facts in mind, I propose to create an event saving feature, that record all
Events of a game session, and extend MTE to be able to create integration tests for
the events recorded through this new feature."
MovingBlocks,Naman Tiwari,Renovation of MasterOfOreon,"Renovation of Master of Oreon is an extensive refactor of the current Master of Oreon module. The vision behind MOO is to create a game-play scenario akin to a mixture fortress management of Dwarf Fortress and wizard research in Dungeon Keeper, which will be made available through this project."
MovingBlocks,Neil Moon,Improving the Server Facade,"During Google summer of code 2017, one student worked on making a backend that exposes information about Terasology servers. He also made a frontend using the ReactXP framework, which can build to multiple platforms, such as web, Android, and iOS. However, the backend itself needs some serious work to be considered acceptable for end users. That is what this project is going to try to help accomplish."
MovingBlocks,Sarthak Khandelwal,Multiple Worlds,"Terasology is an open world, open source game but it’s open in the sense that one can explore a single world as much as possible. The idea of this proposal is to add multiple worlds to the game and enable teleportation between two worlds. With Sector’s proof of concept done and ready, this project will serve to be a proof of concept of multiple worlds and efficient entity pool splitting.
The deliverables of this project would be:

1) An improved and more optimized way of queuing chunks for efficient loading and unloading whenever needed.

2) A game with multiple worlds where a player can select multi-world options and can teleport among them using portals."
MovingBlocks,Shreyas Iyer,GooKeeper Implementation,"The aim of this project is to bring SuperSnark’s brilliant game design to life - GooKeeper!  In GooKeeper the player has to setup and maintain a GooZoo, which as the name suggests, is a zoo with different varieties of gooeys. The player has to capture these gooeys from the wild using a special tool, the revolutionary  PlazMaster 3000 into slime-pods and bring them back to the zoo.
These gooeys have different behaviors, some are aggressive, some are passive, and hence capturing them would have different levels of difficulty, and also different payoffs in the zoo.
So, the main aim of the player is to capture exotic varieties of gooeys, keep them fed and happy, and possibly have them mate with one another to give birth to a new, interesting gooey type!"
MovingBlocks,Siarhei Shalyhaila,Game / saved world / module preview image content,"From my perspective, we could remake some game menus and with that improve the user experience. The general idea is to provide more opportunities to manage module dependencies and configure them. And other useful changes, like screenshots for saved games."
MovingBlocks,jellysnake,Tower Defence Gameplay Template,Implementing a basic *Tower Defence* game using **Terasology**
Mozilla,Abdoulaye Oumar Ly,Multi-tab select in Firefox,The purpose of this project is to allow the selection of several tabs in Firefox and thus perform specific actions on them at once. These actions include closing or moving tabs into a new window. The Shift and CTRL/Cmd keys could respectively be used for a range select or for individual item select.
Mozilla,Cactusmachete,web-platform-tests: Improve test manifest workflow and performance,The current manifest file in mozilla-central is difficult to maintain and the root of many merge-conflicts. The situation can be improved by moving the manifest out of mozilla-central and having the CI builds handle it instead. Manifest updates are also resource-intensive and time-consuming. This project will profile the manifest generation and update and look into making the processes more efficient.
Mozilla,Dhiraj Barnwal,Extending Iodide’s Functionality and Improving Code Quality,Iodide is a browser-based notebook which works with absolute zero configuration. Iodide notebooks are designed for scientists so that they can work flexibly and share their work without any hassle. Iodide is still in its early alpha stage. This project aims to extend the functionality of the notebook; making the notebook code more robust and performant; helping to shape the user experience; and creating example notebooks.
Mozilla,Felix Kaaman,D3D11 backend for gfx-rs HAL,The aim of the project is to implement the D3D11 backend for the gfx hardware abstraction layer (HAL) in order to get it ready to be used by WebRender for its rendering.
Mozilla,Fernando García Álvarez,Fretboard: A/B Testing Framework for Android,"This proposal is about developing Fretboard: an A/B testing framework for Android written in Kotlin, taking as foundation the Switchboard fork used in Firefox for Android.

The goal is to make a reusable library decoupled from both the client and server storage mechanism which will allow to make A/B tests on Android apps: check if a user is part of an experiment, schedule frequent updates, get experiment associated metadata, as well as force specific experiments value in order to test the app, for example.

It will also allow security features: certificate pinning and experiment collection signature verification.
The library will be deployed to jcenter and also integrated into Firefox Focus."
Mozilla,Khushil Mistry,Improve Enigmail User Experience,Enigmail is a seamlessly integrated security add-on for Mozilla Thunderbird. The main idea behind this project is to improve Enigmail UI so that non-experts can use encryption easily. This will be done by two main things : 1) UI Improvements 2) Adding UI Testing. Enigmail don’t have UI Test Units. I think that Testing is very important part of any development project. So I am planning to integrate it. Autocrypt setup is also an important part of this project.
Mozilla,Lachlan Sneff,Software-Isolated WASM Processes in Ring 0,Design and partially implement a research operating system that uses WebAssembly to implement software-isolated processes (SIPs) that run in ring 0 in order to allow architecture-agnostic compiled binaries and possibly attain higher performance due to not needing page-table switches and interrupt-based system-calls.
Mozilla,Olle Lauri Boström,WasmFiddle,"The goal of this project is to significantly increase test coverage and test quality in the WebAssembly Studio project. This will make it easier to detect bugs and breaking changes as the project evolves. While doing so, the idea is to simultaneously work on open issues related to the code that is tested during each iteration."
Mozilla,Peter Hrvola,Servo: Prototype ways of splitting up the script crate,The aim of this project is to investigate and propose a plan for *separation of Servo script crate*. Script crate lays in the core of the Servo and requires a large amount of memory to build. Large memory requirements make it impossible to build on 32-bit computers and slowdown development.
Mozilla,Pramit Singhi,Pontoon,"The project mainly focuses on **improving the User Experience** for people who wish to contribute to Pontoon (the localization tool developed by Mozilla) . While there are lots of good features in the Pontoon but there are few problems with the current flow for tool for the first-time users which creates a confusion for the users who wish to contribute.
User Experience (UX) can be improved by making some important changes in the design flow and by implementation of new functionality in the tool like **implementing a tutorial** and making a more smooth design of the tool to help the first-time users. There are **other changes** mentioned as well in my proposal. UX also sometimes involve some changing in the default UI of the tool."
